Unnamed: 0_x,program_id,school_id,program_type,capacity,programno,r2_capacity,r1_assigned,r1_noenroll,r1_first_choice,Unnamed: 0_y
133,834-CB-KG,834,CB,11,134,11,3.0,0.0,3.0,104
134,834-GE-KG,834,GE,22,135,22,19.0,5.0,7.0,105
135,834-SB-KG,834,SB,22,136,22,14.0,3.0,14.0,106
136,782-GE-KG,782,GE,65,137,64,65.0,7.0,47.0,107
138,842-GE-KG,842,GE,65,139,64,65.0,14.0,57.0,108
140,750-GE-KG,750,GE,64,141,63,64.0,10.0,139.0,109
142,848-CB-KG,848,CB,22,143,22,22.0,1.0,11.0,110
143,848-GE-KG,848,GE,23,144,22,23.0,7.0,10.0,111
144,513-CB-KG,513,CB,44,145,44,28.0,0.0,23.0,112
145,513-GE-KG,513,GE,42,146,42,41.0,3.0,48.0,113
147,513-SB-KG,513,SB,22,148,22,20.0,1.0,18.0,114
148,859-GE-KG,859,GE,43,149,42,43.0,14.0,26.0,115
150,862-CB-KG,862,CB,22,151,22,22.0,0.0,53.0,116
151,862-GE-KG,862,GE,67,152,66,69.0,11.0,38.0,117
152,867-CB-KG,867,CB,11,153,11,8.0,0.0,6.0,118
153,867-GE-KG,867,GE,44,154,44,43.0,12.0,17.0,119
154,497-GE-KG,497,GE,22,155,22,22.0,9.0,21.0,120
155,497-SE-KG,497,SE,22,156,22,22.0,2.0,47.0,121
156,497-SN-KG,497,SN,22,157,22,18.0,3.0,11.0,122
157,876-CE-KG,876,CE,14,158,14,14.0,0.0,32.0,123
158,876-CN-KG,876,CN,19,159,19,19.0,0.0,21.0,124
159,876-GE-KG,876,GE,67,160,66,69.0,17.0,59.0,125
160,801-GE-KG,801,GE,43,161,42,43.0,18.0,35.0,126
162,485-CE-KG,485,CE,44,163,44,44.0,4.0,74.0,127
163,485-CT-KG,485,CT,22,164,22,25.0,0.0,80.0,128
